xxz,x (out of 300),y (out of 400),rotation,font size,font weight,# of words,# of characters,lines of text,alignment,caps or lowercase,,,NOTES:
8,93,273,36.78,46.67,condensed bold,1,9,1,,C,,,
9,212,247,8.17,8.43,condensed bold,2,17,1,,C,,,
10,214,256,8.17,19.59,condensed bold,1,6,1,,C,,,
11,216,276,8.17,12.42,condensed bold,12,64,4,left,C,,,
1,11,60,0,8.91,regular,14,117,4,centered,L,,,
2,90,87,0,23.51,condensed bold,1,7,1,,C,,,
3,216,219,238.89,23.51,condensed bold,1,7,1,,C,,,
4,99,206,120.52,23.51,condensed bold,1,5,1,,C,,,
5,120,132,0,8.91,regular,3,13,1,,L,,,
6,136,223,270,8.23,medium,2,13,1,,C,,,
7,37,380,0,8.91,regular,5,43,1,,L,,,
8,59,82,315,8.91,regular,1,20,1,,L,,,
9,214,156,41.66,8.91,regular,2,18,1,,L,,,
10,74,236,38.87,8.91,regular,1,17,1,,L,,,
11,110,293,316.86,8.91,regular,1,16,1,,L,,,
12,46,88,270,2.51,bold,13,117,1,,C,,,
13,223,167,270,2.51,bold,18,162,1,,C,,,
14,69,241,270,2.51,bold,13,117,1,,C,,,
15,100,295,270,2.51,bold,8,72,1,,C,,,
1,14,25,0,9.33,bold,3,15,1,,C,,,
2,142,48,0,26.42,condensed bold,3,17,1,,L,,,
3,25,48,0,183.29,condensed bold,1,1,1,,C,,,
4,134,93,0,120.33,bold,1,2,1,,C,,,
5,141,192,0,30.32,light,1,2,1,,L,,,
6,17,229,0,151.3,condensed bold,1,5,1,,C,,,
7,18,353,0,33.49,light,7,13,1,,C,,,
